Name;Hex (RGB);Red (RGB);Green (RGB);Blue (RGB);Hue (HSL/HSV);Satur. (HSL);Light (HSL);Satur. (HSV);Value (HSV);Image Base64
English vermillion;#CC474B;80%;28%;29%;358°;57%;54%;65%;80%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDcgndEzcL6IkvuFDSd59mDb9btgD8xKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCt4AaP2AcDXt8LPAAAAAElFTkSuQmCC
English violet;#563C5C;34%;24%;36%;289°;21%;30%;35%;36%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQMDXbPDBv49ZWF9kyZ2CpnM/Z/DNuh3wJ2YFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBS9gBwFSGsOXZAAAAABJRU5ErkJggg==
Erin;#00FF40;0%;100%;25%;135°;100%;50%;100%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQJgx/KsCC+uLkNwpaDrHXoN/vtsBLzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzi/WwGiVuICkAAAAABJRU5ErkJggg==
Eton blue;#96C8A2;59%;78%;64%;134°;31%;69%;25%;78%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQMD/ewbwgq5ZWF9kyZ2CpvM5e/DNuh3wJ2YFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBS8S+AJjBr5r2QAAAABJRU5ErkJggg==
Fallow;#C19A6B;76%;60%;42%;33°;41%;59%;45%;76%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDuFCEHZ7OwvsiSOwVN59nP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXsE5AinK9HMdAAAAAElFTkSuQmCC
Falu red;#801818;50%;9%;9%;0°;68%;30%;81%;50%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQEAEdrGOhfVFltwpaDrP3oNv1uuAPzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswK7j9LQEPHXUy0QAAAABJRU5ErkJggg==
Fandango;#B53389;71%;20%;54%;320°;56%;46%;72%;71%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDSVCIIf7OwvsiSOwVN53n24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXnZSAdUXDNSGAAAAAElFTkSuQmCC
Fandango pink;#DE5285;87%;32%;52%;338°;68%;60%;63%;87%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDhPGETL7OwvsiSOwVN53n24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXmQoAhatAtccAAAAAElFTkSuQmCC
Fawn;#E5AA70;90%;67%;44%;30°;69%;67%;51%;90%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDxdOELH7OwvsiSOwVN59nP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXhN6AmOn2GnZAAAAAElFTkSuQmCC
Fern green;#4F7942;31%;47%;26%;106°;29%;37%;45%;47%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDaDCAH+7OwvsiSOwVN5z7P4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXljDAWzCxwQPAAAAAElFTkSuQmCC
Field drab;#6C541E;42%;33%;12%;42°;57%;27%;72%;42%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQEDIVOEC//9ZWF9kyZ2CpvPsZ/DNuh3wJ2YFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBS941QFB49QBswAAAABJRU5ErkJggg==
Fiery rose;#FF5470;100%;33%;44%;350°;100%;67%;67%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDjhOD/wyysL7LkTkHTeZ49+GbdDvgTswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArOCF0viAieoo3DtAAAAAElFTkSuQmCC
Finn;#683068;41%;19%;41%;300°;37%;30%;54%;41%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDRZOFfARboiyy5U9B07m8P7qzXAX9iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZwAIJYAWRPHINjAAAAAElFTkSuQmCC
Firebrick;#B22222;70%;13%;13%;0°;68%;42%;81%;70%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhklEQVR4nO3QQQ3AIADAQMAJ/n8oxML6IkvuFDSdZ+/BN+t1wJ+YFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBVcwVwBWBs8E8QAAAAASUVORK5CYII=
Fire engine red;#CE2029;81%;13%;16%;357°;73%;47%;84%;81%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQMDJfvgXgqZZWF9kyZ2CpvM8e/DNuh3wJ2YFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBS/LQQF7ho8RoQAAAABJRU5ErkJggg==
Flame;#E25822;89%;35%;13%;17°;77%;51%;85%;89%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDJZGEfJbOwvsiSOwVN59nP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXqQ0AcDLJykpAAAAAElFTkSuQmCC
Flax;#EEDC82;93%;86%;51%;50°;76%;72%;45%;93%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQED6bKIBD7OwvsiSOwVN59nP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXk0HAq4UcG0WAAAAAElFTkSuQmCC
Flirt;#A2006D;64%;0%;43%;320°;100%;32%;100%;64%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQJhfVGEUC+uLkNwpaDr3WIN/vtsBLzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzgvSgF0m1z/DAAAAABJRU5ErkJggg==
Floral white;#FFFAF0;100%;98%;94%;40°;100%;97%;6%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QsQ3AIADAMOD/Xzsz0ReaCVWyL4gyz34G36zbAX9iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFbwAltwA0uePqTcAAAAAElFTkSuQmCC
Forest green (web);#228B22;13%;55%;13%;120°;61%;34%;76%;55%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQMAJfhGNhfVFltwpaDr32YNv1uuAPzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswK7gGowEy/G18GwAAAABJRU5ErkJggg==
French beige;#A67B5B;65%;48%;36%;26°;30%;50%;45%;65%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDmnOAHn7OwvsiSOwVN59nP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXoeWAd5EXm4ZAAAAAElFTkSuQmCC
French bistre;#856D4D;52%;43%;30%;34°;27%;41%;42%;52%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDfrOAC4bOwvsiSOwVN59nP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXoUKAaEbVIBJAAAAAElFTkSuQmCC
French blue;#0072BB;0%;45%;73%;203°;100%;37%;100%;73%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQJhk5KEOC+uLkNwpaDrH2oN/vtsBLzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKziclAGQ1n6ucQAAAABJRU5ErkJggg==
French fuchsia;#FD3F92;99%;25%;57%;334°;98%;62%;75%;99%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDYNOKXxyysL7LkTkHTeZ49+GbdDvgTswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArOCF1zkAjAGkaf5AAAAAElFTkSuQmCC
French lilac;#86608E;53%;38%;56%;290°;19%;47%;32%;56%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDp3PBD8yysL7LkTkHTuZ8z+GbdDvgTswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArOCF2FOAdksciVfAAAAAElFTkSuQmCC
French lime;#9EFD38;62%;99%;22%;89°;98%;61%;78%;99%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDV1KKUxyysL7LkTkHTuc8z+GbdDvgTswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArOCF72eAjZs9JLlAAAAAElFTkSuQmCC
French mauve;#D473D4;83%;45%;83%;300°;53%;64%;46%;83%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQEDyrGIIC/RFltwpaDr3twd31uuAPzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzjQ2AJ8uSXq5wAAAABJRU5ErkJggg==
French pink;#FD6C9E;99%;42%;62%;339°;97%;71%;57%;99%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDuPKGUxyysL7LkTkHTeZ49+GbdDvgTswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArOCF3QiAmllIXgPAAAAAElFTkSuQmCC
French raspberry;#C72C48;78%;17%;28%;349°;64%;48%;78%;78%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDOhOAcXbOwvsiSOwVN53n24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXl9aAZxWdq9XAAAAAElFTkSuQmCC
French sky blue;#77B5FE;47%;71%;100%;212°;99%;73%;53%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhklEQVR4nO3QQQ3AIADAQMD0lKGPWVhfZMmdgqbz2Wfwzbod8CdmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgUvLXMCjxYxiDAAAAAASUVORK5CYII=
French violet;#8806CE;53%;2%;81%;279°;94%;42%;97%;81%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QwQnAIADAQBU6u9s5U1doXlK4myBk7ucMvlm3A/7ErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzgBS2cAb7w5F+eAAAAAElFTkSuQmCC
Frostbite;#E936A7;91%;21%;65%;322°;80%;56%;77%;91%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDTJOMNGbOwvsiSOwVN53n24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXhDOAibAxcn5AAAAAElFTkSuQmCC
Fuchsia;#FF00FF;100%;0%;100%;300°;100%;50%;100%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAg0lEQVR4nO3QQQkAIADAQLV/Z63gXiLcJRibe+zBnfU64CdmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgUH2C4CYhsz5sgAAAAASUVORK5CYII=
Fuchsia (Crayola);#C154C1;76%;33%;76%;300°;47%;54%;56%;76%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQEDjDOMMC/RFltwpaDr3twd31uuAPzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzioZwI6SujlIAAAAABJRU5ErkJggg==
Fulvous;#E48400;89%;52%;0%;35°;100%;45%;100%;89%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQEA7SlGChfVFltwpaDrPHny0Xgf8iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZwQXwQwHKVJCSxgAAAABJRU5ErkJggg==
Fuzzy Wuzzy;#87421F;53%;26%;12%;20°;63%;33%;77%;53%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDIxGAO27OwvsiSOwVN59nP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXsTfAUt1nzYNAAAAAElFTkSuQmCC
Gainsboro;#DCDCDC;86%;86%;86%;—°;0%;86%;0%;86%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ0AIRDAwOP8O1wzWKAvQjKjoOmamY8z/+2Al5gVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFWybBAL1QAjfVwAAAABJRU5ErkJggg==
Gamboge;#E49B0F;89%;61%;6%;39°;88%;48%;93%;89%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQMDA/Ad3KJmF9UWW3CloOs9+Bt+s2wF/YlZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBW8AKqawHwcH0D7QAAAABJRU5ErkJggg==
Generic viridian;#007F66;0%;50%;40%;168°;100%;25%;100%;50%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQJhYbGAdC+uLkNwpaDrHXoN/vtsBLzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzhOgAFJRRYSRAAAAABJRU5ErkJggg==
Ghost white;#F8F8FF;97%;97%;100%;240°;100%;99%;3%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QsQ3AIADAMOD/fxnhhWZClewLosy9z+Cb9TrgT8wKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCi68FwNRLew1BAAAAABJRU5ErkJggg==
Glaucous;#6082B6;38%;51%;71%;216°;37%;55%;47%;71%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDptOAJf7OwvsiSOwVN57PP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXjAIAft9pUwQAAAAAElFTkSuQmCC
Glossy grape;#AB92B3;67%;57%;70%;285°;18%;64%;18%;70%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QsQ3AIADAMOD/pW8wcmFfaCZUyb4gytzPGXyzbgf8iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZwQvwogJRfMIFEAAAAABJRU5ErkJggg==
GO green;#00AB66;0%;67%;40%;156°;100%;34%;100%;67%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQJhYxKESC+uLkNwpaDrHXoN/vtsBLzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzgurgF012q1IAAAAABJRU5ErkJggg==
Gold (metallic);#D4AF37;83%;69%;22%;46°;65%;52%;74%;83%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDVXCMGQ7OwvsiSOwVN59nP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXjrIAh4vzh+OAAAAAElFTkSuQmCC
Gold (web) (Golden);#FFD700;100%;84%;0%;51°;100%;50%;100%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQMC/PuyAhfVFltwpaDrPHny0Xgf8iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZwQVungI58VpR4AAAAABJRU5ErkJggg==
Gold (Crayola);#E6BE8A;90%;75%;54%;34°;65%;72%;40%;90%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMD9VKEGH7OwvsiSOwVN59nP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXqPnApEGLNkQAAAAAElFTkSuQmCC
Gold Fusion;#85754E;52%;46%;31%;43°;26%;41%;41%;52%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDg1OAA4bOwvsiSOwVN59nP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXgvMAaws0zOJAAAAAElFTkSuQmCC
Golden brown;#996515;60%;40%;8%;36°;76%;34%;86%;60%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDDNOIJt7OwvsiSOwVN59nP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXt/xAXfVAc3HAAAAAElFTkSuQmCC
Golden poppy;#FCC200;99%;76%;0%;46°;100%;49%;100%;99%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhklEQVR4nO3QQQ3AIADAQMC/KXzxwML6IkvuFDSdZw8+Wq8D/sSswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArOAC64ECIRWyaVYAAAAASUVORK5CYII=
Golden yellow;#FFDF00;100%;87%;0%;52°;100%;50%;100%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQMC/RbSAhfVFltwpaDrPHny0Xgf8iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZwQUKNAJAwrQEAwAAAABJRU5ErkJggg==
Goldenrod;#DAA520;85%;65%;13%;43°;74%;49%;85%;85%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDJxOMJObOwvsiSOwVN59nP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXsybAgKO5AGdAAAAAElFTkSuQmCC
Gotham green;#00573F;0%;34%;25%;168°;100%;17%;100%;341%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQJgxXOBfChbWFyG5U9B0jr0G/3y3A15iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZwAO8KAPlQ6X69AAAAAElFTkSuQmCC
